## Physlog file version = 2
## AMC Amsterdam (SRN = 71279), Release unify (SWID 22.22)
## Tue 03-10-2017 18:03:34
## 0 0 0 0 0 16 14 11 0 23 23 -10 11 0 11 9 8 -9 0 20 [cal=3, reqid=5]
## Dockable table = FALSE
# v1raw v2raw  v1 v2  ppu resp  gx gy gz mark mark2
-24 -15  -10 -6  1 3483  0 0 0 0000 0200
-24 -16  -11 -6  1 3483  0 0 0 0000 0200
-22 -16  -11 -6  1 3483  0 0 0 0000 0200
-21 -15  -10 -6  1 3483  0 0 0 0000 0200
-19 -13  -10 -5  1 3526  0 0 0 0000 0200
-18 -12  -9 -4  1 3526  0 0 0 0000 0200
-18 -15  -8 -4  1 3526  0 0 0 0000 0200
-22 -16  -7 -4  1 3526  0 0 0 0000 0200
-25 -21  -8 -5  1 3526  0 0 0 0000 0200
-28 -25  -9 -6  1 3569  0 0 0 0000 0200
-30 -27  -11 -9  1 3569  0 0 0 0000 0200
-27 -27  -12 -11  1 3569  0 0 0 0000 0200
-27 -24  -13 -12  1 3569  0 0 0 0000 0200
-25 -24  -13 -13  1 3569  0 0 0 0000 0200
-24 -24  -12 -13  1 3612  0 0 0 0000 0200
-24 -22  -12 -13  1 3612  0 0 0 0000 0200
-22 -21  -11 -12  1 3612  0 0 0 0000 0200
-21 -18  -10 -11  1 3612  0 0 0 0000 0200
-21 -18  -9 -9  1 3612  0 0 0 0000 0200
-19 -13  -8 -8  1 3741  0 0 0 0000 0200
-16 -10  -6 -5  1 3741  0 0 0 0000 0200
-15 -6  -4 -3  1 3741  0 0 0 0000 0200
-15 -6  -3 0  1 3741  0 0 0 0000 0200
-15 -9  -2 0  1 3741  0 0 0 0000 0200
-18 -10  -1 1  1 3741  0 0 0 0000 0200
-18 -12  -1 1  1 3741  0 0 0 0000 0200
-16 -12  -1 1  1 3741  0 0 0 0000 0200
-15 -10  -1 1  1 3741  0 0 0 0000 0200
-12 -7  0 1  1 3741  0 0 0 0000 0200
-9 -6  0 2  1 3784  0 0 0 0000 0200
-9 -7  1 3  1 3784  0 0 0 0000 0200
-9 -9  2 3  1 3784  0 0 0 0000 0200
-9 -7  3 3  1 3784  0 0 0 0000 0200
-9 -6  3 3  1 3784  0 0 0 0000 0200
-9 -6  4 3  1 3827  0 0 0 0000 0200
-9 -9  4 3  1 3827  0 0 0 0000 0200
-9 -9  4 3  1 3827  0 0 0 0000 0200
-9 -7  4 3  1 3827  0 0 0 0000 0200
-6 -3  4 3  1 3827  0 0 0 0000 0200
-3 0  5 4  1 3956  0 0 0 0000 0200
-3 3  6 6  1 3956  0 0 0 0000 0200
-3 0  7 8  1 3956  0 0 0 0000 0200
-6 -3  8 8  1 3956  0 0 0 0000 0200
-9 -7  7 8  1 3956  0 0 0 0000 0200
-12 -9  6 7  1 3956  0 0 0 0000 0200
-15 -9  4 5  1 3956  0 0 0 0000 0200
-16 -12  2 3  1 3956  0 0 0 0000 0200
-18 -13  0 1  1 3956  0 0 0 0000 0200
-18 -16  -1 0  1 3956  0 0 0 0000 0200
-16 -16  -2 -1  1 3956  0 0 0 0000 0200
-15 -15  -2 -2  1 3956  0 0 0 0000 0200
-13 -13  -2 -2  1 3956  0 0 0 0000 0200
-10 -7  -1 -2  1 3956  0 0 0 0000 0200
-6 -1  0 0  1 3956  0 0 0 0000 0200
-3 1  2 2  1 4042  0 0 0 0000 0200
1 6  5 5  1 4042  0 0 0 0000 0200
3 6  7 8  1 4042  0 0 0 0000 0200
0 4  9 10  1 4042  0 0 0 0000 0200
0 1  11 11  1 4042  0 0 0 0000 0200
-3 0  11 11  1 4042  0 0 0 0000 0200
-1 0  11 11  1 4042  0 0 0 0000 0200
0 3  11 10  1 4042  0 0 0 0000 0200
0 3  11 10  1 4042  0 0 0 0000 0200
-3 3  11 11  1 4042  0 0 0 0000 0200
-3 3  10 11  1 4042  0 0 0 0000 0200
-3 3  10 11  1 4042  0 0 0 0000 0200
-3 3  9 11  1 4042  0 0 0 0000 0200
-3 1  8 11  1 4042  0 0 0 0000 0200
-3 -1  8 10  1 4042  0 0 0 0000 0200
-4 -3  8 9  1 4085  0 0 0 0000 0200
-7 -6  7 7  1 4085  0 0 0 0000 0200
-10 -9  6 5  1 4085  0 0 0 0000 0200
-12 -12  4 3  1 4085  0 0 0 0000 0200
-10 -12  3 1  1 4085  0 0 0 0000 0200
-12 -12  1 0  1 4085  0 0 0 0000 0200
-12 -12  0 -1  1 4085  0 0 0 0000 0200
-12 -12  0 -2  1 4085  0 0 0 0000 0200
-12 -12  0 -2  1 4085  0 0 0 0000 0200
-13 -12  0 -2  1 4085  0 0 0 0000 0200
-16 -15  -1 -3  1 4171  0 0 0 0000 0200
-19 -18  -2 -4  1 4171  0 0 0 0000 0200
-21 -21  -3 -6  1 4171  0 0 0 0000 0200
-21 -21  -5 -7  1 4171  0 0 0 0000 0200
-21 -18  -6 -8  1 4171  0 0 0 0000 0200
-18 -16  -7 -8  1 4171  0 0 0 0000 0200
-16 -15  -7 -8  1 4171  0 0 0 0000 0200
-15 -15  -6 -7  1 4171  0 0 0 0000 0200
-15 -15  -5 -7  1 4171  0 0 0 0000 0200
-18 -16  -5 -6  1 4171  0 0 0 0000 0200
-19 -18  -5 -7  1 4171  0 0 0 0000 0200
-21 -18  -5 -7  1 4171  0 0 0 0000 0200
-18 -16  -5 -7  1 4171  0 0 0 0000 0200
-13 -13  -5 -6  1 4171  0 0 0 0000 0200
-10 -10  -4 -5  1 4171  0 0 0 0000 0200
-6 -9  -1 -3  1 4085  0 0 0 0000 0200
-6 -6  0 -1  1 4085  0 0 0 0000 0200
-3 -3  2 0  1 4085  0 0 0 0000 0200
1 1  4 2  1 4085  0 0 0 0000 0200
4 4  7 4  1 4085  0 0 0 0000 0200
4 6  9 7  1 3999  0 0 0 0000 0200
3 4  10 9  1 3999  0 0 0 0000 0200
3 3  12 10  1 3999  0 0 0 0000 0200
0 3  12 11  1 3999  0 0 0 0000 0200
-1 3  12 11  1 3999  0 0 0 0000 0200
-3 0  11 11  1 3956  0 0 0 0000 0200
-6 -1  9 10  1 3956  0 0 0 0000 0200
-6 -3  8 9  1 3956  0 0 0 0000 0200
-9 -6  6 7  1 3956  0 0 0 0000 0200
-7 -6  5 6  1 3956  0 0 0 0000 0200
-6 -3  4 5  1 3913  0 0 0 0000 0200
-3 -3  4 4  1 3913  0 0 0 0000 0200
-3 0  4 4  1 3913  0 0 0 0000 0201
0 3  5 5  1 3913  0 0 0 0000 0200
0 3  6 6  1 3913  0 0 0 0000 0200
3 6  7 8  1 3827  0 0 0 0000 0200
6 9  9 9  1 3827  0 0 0 0000 0200
9 12  11 11  1 3827  0 0 0 0000 0200
9 9  13 13  1 3827  0 0 0 0000 0200
6 7  14 14  1 3827  0 0 0 0000 0200
4 4  14 13  1 3827  0 0 0 0000 0200
3 3  14 13  1 3827  0 0 0 0000 0200
3 3  13 12  1 3827  0 0 0 0000 0200
3 3  12 11  1 3827  0 0 0 0000 0200
1 0  11 9  1 3827  0 0 0 0000 0200
0 -1  10 8  1 3827  0 0 0 0000 0200
-3 -3  9 6  1 3827  0 0 0 0000 0200
-6 -6  7 5  1 3827  0 0 0 0000 0200
-9 -6  5 3  1 3827  0 0 0 0000 0200
-7 -6  3 1  1 3827  0 0 0 0000 0200
-6 -3  2 1  1 3827  0 0 0 0000 0200
-3 0  1 1  1 3827  0 0 0 0000 0200
0 3  2 2  1 3827  0 0 0 0000 0200
1 3  3 3  1 3827  0 0 0 0000 0200
3 3  4 4  1 3827  0 0 0 0000 0200
3 4  6 6  1 3784  0 0 0 0000 0200
3 6  7 7  1 3784  0 0 0 0000 0200
3 6  8 8  1 3784  0 0 0 0000 0200
4 6  8 8  1 3784  0 0 0 0000 0200
6 6  9 9  1 3784  0 0 0 0000 0200
7 6  10 9  1 3741  0 0 0 0000 0200
9 6  11 10  1 3741  0 0 0 0000 0200
9 6  12 10  1 3741  0 0 0 0000 0200
9 6  12 10  1 3741  0 0 0 0000 0200
9 7  13 10  1 3741  0 0 0 0000 0200
7 9  13 10  1 3741  0 0 0 0000 0200
6 7  13 10  1 3741  0 0 0 0000 0200
3 4  12 10  1 3741  0 0 0 0000 0200
0 1  10 9  1 3741  0 0 0 0000 0200
-3 -3  8 7  1 3741  0 0 0 0000 0200
-3 -4  6 5  1 3655  0 0 0 0000 0200
-1 -3  4 3  1 3655  0 0 0 0000 0200
0 -3  4 2  1 3655  0 0 0 0000 0200
-1 -4  3 1  1 3655  0 0 0 0000 0200
-3 -6  3 0  1 3655  0 0 0 0000 0200
-3 -6  2 0  1 3612  0 0 0 0000 0200
-4 -9  1 -1  1 3612  0 0 0 0000 0200
-7 -10  0 -2  1 3612  0 0 0 0000 0200
-10 -13  0 -4  1 3612  0 0 0 0000 0200
-13 -16  -2 -6  1 3612  0 0 0 0000 0200
-18 -19  -4 -8  1 3569  0 0 0 0000 0200
-18 -21  -6 -10  1 3569  0 0 0 0000 0200
-16 -18  -8 -12  1 3569  0 0 0 0000 0200
-15 -16  -9 -13  1 3569  0 0 0 0000 0200
-12 -10  -9 -12  1 3569  0 0 0 0000 0200
-9 -7  -8 -10  1 3526  0 0 0 0000 0200
-6 -4  -7 -8  1 3526  0 0 0 0000 0200
-6 -4  -5 -5  1 3526  0 0 0 0000 0200
-6 -6  -4 -4  1 3526  0 0 0 0000 0200
-6 -9  -2 -3  1 3526  0 0 0 0000 0200
-6 -9  -2 -2  1 3440  0 0 0 0000 0200
-7 -10  -1 -3  1 3440  0 0 0 0000 0200
-9 -9  -1 -3  1 3440  0 0 0 0000 0200
-6 -7  -1 -3  1 3440  0 0 0 0000 0200
-4 -4  -1 -2  1 3440  0 0 0 0000 0200
1 -1  0 -1  1 3440  0 0 0 0000 0200
4 1  1 0  1 3440  0 0 0 0000 0200
6 6  3 2  1 3440  0 0 0 0000 0200
6 6  5 4  1 3440  0 0 0 0000 0200
6 6  7 5  1 3440  0 0 0 0000 0200
6 3  8 6  1 3440  0 0 0 0000 0200
6 3  9 7  1 3440  0 0 0 0000 0200
9 6  10 7  1 3440  0 0 0 0000 0200
12 6  11 8  1 3440  0 0 0 0000 0200
12 6  12 8  1 3440  0 0 0 0000 0200
12 6  13 8  1 3397  0 0 0 0000 0200
12 6  14 9  1 3397  0 0 0 0000 0200
12 6  14 9  1 3397  0 0 0 0000 0200
9 3  14 8  1 3397  0 0 0 0000 0200
7 -1  14 7  1 3397  0 0 0 0000 0200
1 -4  12 5  1 3354  0 0 0 0000 0200
-1 -10  10 3  1 3354  0 0 0 0000 0200
-4 -13  7 0  1 3354  0 0 0 0000 0200
-6 -12  4 -2  1 3354  0 0 0 0000 0200
-3 -9  2 -4  1 3354  0 0 0 0000 0200
-3 -6  1 -4  1 3354  0 0 0 0000 0200
-1 -3  0 -4  1 3354  0 0 0 0000 0200
0 -1  1 -2  1 3354  0 0 0 0000 0200
0 0  1 -1  1 3354  0 0 0 0000 0200
0 0  1 0  1 3354  0 0 0 0000 0200
1 3  1 1  1 3354  0 0 0 0000 0200
3 3  2 2  1 3354  0 0 0 0000 0200
6 6  3 3  1 3354  0 0 0 0000 0200
10 9  4 5  1 3354  0 0 0 0000 0200
13 12  6 7  1 3354  0 0 0 0000 0200
15 15  9 9  1 3354  0 0 0 0000 0200
15 15  11 12  1 3354  0 0 0 0000 0200
12 15  12 13  1 3354  0 0 0 0000 0200
12 13  13 14  1 3354  0 0 0 0000 0200
12 12  13 15  1 3354  0 0 0 0000 0200
9 9  13 14  1 3139  0 0 0 0000 0200
9 6  12 13  1 3139  0 0 0 0000 0200
12 6  11 11  1 3139  0 0 0 0000 0200
12 7  11 10  1 3139  0 0 0 0000 0200
13 9  11 9  1 3139  0 0 0 0000 0200
15 9  12 9  1 3010  0 0 0 0000 0200
15 6  13 9  1 3010  0 0 0 0000 0200
13 4  13 8  1 3010  0 0 0 0000 0200
10 1  13 6  1 3010  0 0 0 0000 0200
7 -1  12 4  1 3010  0 0 0 0000 0200
4 -4  10 2  1 2967  0 0 0 0000 0200
1 -6  8 0  1 2967  0 0 0 0000 0200
0 -6  6 -1  1 2967  0 0 0 0000 0200
0 -6  4 -2  1 2967  0 0 0 0000 0200
3 -3  2 -2  1 2967  0 0 0 0000 0200
4 -1  2 -2  1 2881  0 0 0 0000 0200
3 -1  2 -1  1 2881  0 0 0 0000 0200
3 -3  2 -1  1 2881  0 0 0 0000 0200
0 -6  1 -1  1 2881  0 0 0 0000 0200
0 -7  1 -2  1 2881  0 0 0 0000 0200
1 -6  1 -3  1 2709  0 0 0 0000 0200
3 -6  1 -3  1 2709  0 0 0 0000 0200
3 -6  1 -3  1 2709  0 0 0 0000 0200
3 -6  1 -4  1 2709  0 0 0 0000 0200
3 -4  1 -3  1 2709  0 0 0 0000 0200
4 -3  1 -3  1 2666  0 0 0 0000 0200
6 -1  1 -2  1 2666  0 0 0 0000 0200
9 1  2 -1  1 2666  0 0 0 0000 0200
12 7  4 0  1 2666  0 0 0 0000 0200
15 10  6 2  1 2666  0 0 0 0000 0200
19 15  9 5  1 2580  0 0 0 0000 0200
22 19  11 8  1 2580  0 0 0 0000 0200
27 22  14 11  1 2580  0 0 0 0000 0200
30 25  18 15  1 2580  0 0 0 0000 0200
30 27  21 18  1 2580  0 0 0 0000 0200
27 24  23 21  1 2537  0 0 0 0000 0200
22 19  23 22  1 2537  0 0 0 0000 0200
16 15  22 21  1 2537  0 0 0 0000 0200
12 10  19 19  1 2537  0 0 0 0000 0200
9 4  16 16  1 2537  0 0 0 0000 0200
6 0  12 12  1 2537  0 0 0 0000 0200
6 -3  9 8  1 2537  0 0 0 0000 0200
6 0  7 4  1 2537  0 0 0 0000 0200
